watersysteem_id;locatie_naam;locatie_code;locatie_omschrijving;geometry
Maas;Lith, beneden sluis;lith.sluis;Lith, beneden sluis;c(5.452453, 51.80911)
Maas;Gennep;gennep;Gennep;c(5.9574, 51.697)
Maas;Grave, beneden;grave.beneden;sluis;c(5.72, 51.775)
Maas;Well dorp;well;km 132,10;c(6.09245, 51.54744)
Maas-Waalkanaal;Nijmegen Maaswaalkanaal Inlaat Weurt;nijmegen.maaswaalkanaal.inlaatweurt;Nijmegen Maaswaalkanaal Inlaat Weurt;c(5.81146, 51.84111)
Maas-Waalkanaal;Malden Maaswaalkanaal Inlaat Teersesluispolder;malden.maaswaalkanaal.inlaatteersesluispolder;Malden Maaswaalkanaal Inlaat Teersesluispolder;c(5.83495, 51.78926)
Maas-Waalkanaal;Nijmegen Maaswaalkanaal Inlaat Landsweijer;nijmegen.maaswaalkanaal.inlaatlandsweijer;Nijmegen Maaswaalkanaal Inlaat Landsweijer;c(5.80625, 51.82919)
Nederrijn;Hetersche Waarden;heteren.heterschewaarden;Hetersche Waarden;c(5.74784, 51.96302)
Nederrijn;Strand Eiland van Maurik;strandeilandvanmaurik;Strand Eiland van Maurik;c(5.421463, 51.975226)
Nederrijn;Eiland van Maurik, vakantiepark;eilandvanmaurik.vakantiepark;Eiland van Maurik, vakantiepark;c(5.428842, 51.975314)
Nederrijn;Zwanenbad;zwanenbad;Zwanenbad;c(5.948729, 51.93702)
Nederrijn;Gravenbol;gravenbol;Gravenbol;c(5.385602, 51.971816)
Nederrijn;Arnhem, Groene Rivier;arnhem.groenerivier;Arnhem, Groene Rivier;c(5.907068, 51.973587)
Nederrijn;Driel, boven;driel.boven;Driel, boven;c(5.810635, 51.96584)
Nederrijn;Arnhem, Nederrijn;arnhem.nederrijn;Arnhem, Nederrijn;c(5.912023, 51.975408)
Nederrijn;Westervoort IJsselkop;westervoort.ijsselkop;Westervoort IJsselkop;c(5.953, 51.9507)
Nederrijn;Amerongen, boven;amerongen.boven;Amerongen, boven;c(5.4125, 51.9753)
Nederrijn;Driel, beneden;driel.beneden;Driel, beneden;c(5.802606, 51.962992)
Nederrijn;Amerongen, beneden;amerongen.beneden;Amerongen, beneden;c(5.404, 51.974)
Nederrijn;Huissen, Nederrijn;huissen.nederrijn;Huissen, Nederrijn;c(5.962108, 51.933324)
Nederrijn;Rhenen Grebbeberg;rhenen.grebbeberg;Rhenen Grebbeberg;c(5.589806, 51.949389)
Grevelingenmeer;Ouddorp, De Punt, west, badstrand;ouddorp.depunt.west.badstrand;Ouddorp, De Punt, west, badstrand;c(3.87251, 51.781641)
Grevelingenmeer;Kabbelaarsbank, Grevelingen;kabbelaarsbank.grevelingen;Kabbelaarsbank, Grevelingen;c(3.862772, 51.752415)
Grevelingenmeer;Herkingen badstrand;herkingenbadstrand;Herkingen badstrand;c(4.08071, 51.707915)
Grevelingenmeer;Port Zeelande, badstrand;portzeelande.badstrand;Port Zeelande, badstrand;c(3.865118, 51.758873)
Grevelingenmeer;Bruinisse, werkhaven, badstrand;bruinisse.werkhaven.badstrand;Bruinisse, werkhaven, badstrand;c(4.087627, 51.668618)
Grevelingenmeer;Slikken van Flakkee;slikkenvanflakkee;Slikken van Flakkee;c(4.018143, 51.751905)
Grevelingenmeer;Den Osse badstrand;denossebadstrand;Den Osse badstrand;c(3.887785, 51.74417)
Grevelingenmeer;Grevelingendam, badstrand;grevelingendam.badstrand;Grevelingendam, badstrand;c(4.117824, 51.679557)
Grevelingenmeer;Ouddorp, De Punt, Grevelingen;ouddorp.depunt.grevelingen;Ouddorp, De Punt, Grevelingen;c(3.885069, 51.780095)
Grevelingenmeer;Scharendijke, diepe put;scharendijke.diepeput;Scharendijke, diepe put;c(3.848149, 51.742883)
Grevelingenmeer;Herkingen;herkingen;Herkingen;c(4.089169, 51.690479)
Grevelingenmeer;Dreischor;dreischor;Dreischor;c(3.99933, 51.71462)
Grevelingenmeer;Brouwershaven, badstrand;brouwershaven.badstrand;Brouwershaven, badstrand;c(3.91528, 51.731439)
Grevelingenmeer;Bommenede;bommenede;Grevelingen boei G22;c(3.974298, 51.738709)
Grevelingenmeer;Brouwersdam spuisluis binnen schuif6;brouwersdam.spui.binnen.schuif6;Brouwersdam spuisluis binnen schuif6;c(3.827374, 51.748217)
Grevelingenmeer;Brouwersdam spuisluis buiten schuif2;brouwersdam.spui.buiten.schuif2;Brouwersdam spuisluis buiten schuif2;c(3.82584, 51.748584)
Hollandsch Diep;Haringvlietbrug, oost;haringvlietbrug.oost;Haringvlietbrug, oost;c(4.406882, 51.722137)
Hollandsch Diep;Recreatieterrein Hellegatsplein;recreatieterreinhellegatsplein;Recreatieterrein Hellegatsplein;c(4.398554, 51.705842)
Hollandsch Diep;Bovensluis;bovensluis;Bovensluis;c(4.493381, 51.692464)
Hollandsch Diep;Willemstad Hollandschdiep Volkerakspuisluis;willemstad.hollandschdiep.volkerakspuisluis;Willemstad Hollandschdiep Volkerakspuisluis;c(4.421779, 51.694889)
Hollandsch Diep;Willemstad, Hollandsch Diep;willemstad.hollandschdiep;Volkeraksluizen spuisluis;c(4.40689, 51.696401)
Hollandsch Diep;Moerdijk;moerdijk;Moerdijk;c(4.615, 51.712)
Hollandsch Diep;Willemstad Volkeraksluizen gat3;willemstad.volkeraksluizen.schuif3;Willemstad Volkeraksluizen gat3;c(4.402275, 51.691823)
Hollandsch Diep;Willemstad Volkeraksluizen gat2;willemstad.volkeraksluizen.schuif2;Willemstad Volkeraksluizen gat2;c(4.401538, 51.692446)
Hollandsch Diep;Dordrecht Hollands Diep 015;dordrecht.hollandschdiep.015;Dordrecht Hollands Diep 015;c(4.636418, 51.71648)
Hollandsch Diep;Dordrecht Hollands Diep 075;dordrecht.hollandschdiep.075;Dordrecht Hollands Diep 075;c(4.635919, 51.716917)
Hollandsch Diep;Dordrecht Hollands Diep 030;dordrecht.hollandschdiep.030;Dordrecht Hollands Diep 030;c(4.636301, 51.716587)
Hollandsch Diep;Dordrecht Hollands Diep 045;dordrecht.hollandschdiep.045;Dordrecht Hollands Diep 045;c(4.636168, 51.716703)
Hollandsch Diep;Dordrecht Hollands Diep 060;dordrecht.hollandschdiep.060;Dordrecht Hollands Diep 060;c(4.636051, 51.71681)
Hollandsch Diep;Dordrecht Hollands Diep 000;dordrecht.hollandschdiep.000;Dordrecht Hollands Diep 000;c(4.636542, 51.716367)
Hollandsch Diep;Hollandsch Diep, mond Dordtsche Kil, west;hollandschdiep.monddordtschekil.west;Hollandsch Diep, mond Dordtsche Kil, west;c(4.606226, 51.711725)
Hollandsch Diep;Willemstad, Volkerak;willemstad.volkerak;voorheen Rak zuid;c(4.397417, 51.682434)
Hollandsche IJssel;Gouda, voorhaven;gouda.voorhaven;Gouda, voorhaven;c(4.691184, 51.996723)
Hollandsche IJssel;Krimpen aan de IJssel, Hollandsche IJssel;krimpenaandeijssel.hollandscheijssel;Krimpen aan de IJssel, Hollandsche IJssel;c(4.579, 51.9165)
Hollandsche IJssel;Gouda Hollandsche IJssel;gouda.hollandscheijssel;Gouda Hollandsche IJssel;c(4.71972, 52.00658)
IJssel;Recreatiepark De Scherpenhof;recreatieparkdescherpenhof;Recreatiepark De Scherpenhof;c(6.099814, 52.298177)
IJssel;Doesburg, Het Zwarte Schaar;doesburg.hetzwarteschaar;Camping IJsselstrand;c(6.159603, 52.030895)
IJssel;Rhederlaag, Giese Kop;rhederlaag.giesekop;Rhederlaag, Giese Kop;c(6.058402, 51.992371)
IJssel;Olburgen, Zwarte Schaar;olburgen.zwarteschaar;Olburgen, Zwarte Schaar;c(6.136088, 52.03555)
IJssel;Rhederlaag, Noordoever;rhederlaag.noordoever;Rhederlaag, Noordoever;c(6.046758, 52.002495)
IJssel;Rhederlaag, Bahrsche Strand;rhederlaag.bahrschestrand;Rhederlaag, Bahrsche Strand;c(6.041818, 51.987341)
IJssel;Kampen;kampen;Kampen;c(5.917924, 52.558966)
IJssel;Westervoort;westervoort;Westervoort;c(5.954706, 51.967031)
IJssel;Westervoort, 1;westervoort.1;voorheen IJsselkop;c(5.962, 51.9705)
IJssel;Olst;olst;Olst;c(6.10448, 52.34201)
IJssel;Zutphen, IJssel;zutphen.ijssel;noord;c(6.182, 52.154)
IJssel;Kampen, IJssel;kampen.ijssel;voorheen bovenhaven;c(5.9264, 52.552)
IJssel;Wijhe;wijhe;Wijhe;c(6.126917, 52.387)
IJssel;Westervoort Hondsbroeksche Pleij IJssel;westervoort.hondbroekschepleij.ijssel;Westervoort Hondsbroeksche Pleij IJssel;c(5.950237, 51.959934)
IJssel;Doesburg, IJssel;doesburg.ijssel;Doesburg, IJssel;c(6.130488, 52.019532)
IJssel;Kampen, Keteldiep;kampen.keteldiep;Kampen, Keteldiep;c(5.8467, 52.5816)
IJssel;Veessen Wapenveld;veessen;Veessen Wapenveld;c(6.077656, 52.368033)
IJssel;Westervoort, 2;westervoort.2;IJsseldijkerwaard;c(5.962, 51.9705)
IJssel;De Steeg;desteeg;De Steeg;c(6.062269, 52.017067)
IJssel;Deventer;deventer;Deventer;c(6.153247, 52.251194)
IJssel;Westervoort, Hondsbroeksche Pleij, Geul;westervoort.hondsbroekschepleij.geul;voorheen, oost;c(5.953158, 51.956117)
IJssel;De Steeg, haven;desteeg.haven;De Steeg, haven;c(6.044835, 52.01012)
IJssel;Westervoort, Hondsbroeksche Pleij, IJssel;westervoort.hondsbroekschepleij.ijssel;voorheen, west;c(5.950239, 51.959933)
IJsselmeer;Molkwerum, Molkwerum;molkwerum.molkwerum;Molkwerum, Molkwerum;c(5.396689, 52.905866)
IJsselmeer;Hindeloopen, Badpaviljoen Hindeloopen;hindeloopen.badpaviljoenhindeloopen;Hindeloopen, Badpaviljoen Hindeloopen;c(5.403328, 52.933444)
IJsselmeer;Urk, dijkstrand;urk.dijkstrand;Urk, dijkstrand;c(5.59259, 52.663389)
IJsselmeer;Andijk, Zwemstrand;andijk.zwemstrand;Andijk, Zwemstrand;c(5.175511, 52.739678)
IJsselmeer;Lemsterstrand, Lemmer;lemsterstrand.lemmer;Lemsterstrand, Lemmer;c(5.70004, 52.842398)
IJsselmeer;De Holle Poarte, Makkum;dehollepoarte.makkum;De Holle Poarte, Makkum;c(5.37802, 53.052862)
IJsselmeer;Den Oever, zuiderhaven, Strand;denoever.zuiderhaven.strand;Den Oever, zuiderhaven, Strand;c(5.039899, 52.931638)
IJsselmeer;Enkhuizen, strand;enkhuizen.strand;Enkhuizen, strand;c(5.292279, 52.712292)
IJsselmeer;Stavoren, It Suderstrand;stavoren.itsuderstrand;Stavoren, It Suderstrand;c(5.370067, 52.872139)
IJsselmeer;It Soal, Workum;itsoal.workum;It Soal, Workum;c(5.411288, 52.965695)
IJsselmeer;Medemblik, Vooroever, Het Nesbos;medemblik.vooroever.hetnesbos;Medemblik, Vooroever, Het Nesbos;c(5.124689, 52.755223)
IJsselmeer;Medemblik, Vooroever, Vlietsingel Poel;medemblik.vooroever.vlietsingelpoel;Medemblik, Vooroever, Vlietsingel Poel;c(5.119063, 52.764619)
IJsselmeer;Schokkerhaven, strand;schokkerhaven.strand;Schokkerhaven, strand;c(5.7438, 52.612048)
IJsselmeer;De Hege Gerzen, Oudemirdum;dehegegerzen.oudemirdum;De Hege Gerzen, Oudemirdum;c(5.545044, 52.833115)
IJsselmeer;Mirnser Klif, Mirns;mirnserklif.mirns;Mirnser Klif, Mirns;c(5.480474, 52.850437)
IJsselmeer;Lelystad, Houtribhoek, strand;lelystad.houtribhoek.strand;Lelystad, Houtribhoek, strand;c(5.455701, 52.549447)
IJsselmeer;Strand Staversekade;strandstaversekade;Strand Staversekade;c(5.594348, 52.659846)
IJsselmeer;Stavoren zuid;stavoren.zuid;voorheen noord;c(5.35915, 52.87923)
IJsselmeer;Andijk IJsselmeer;andijk.ijsselmeer;Andijk IJsselmeer;c(5.265018, 52.750524)
IJsselmeer;Andijk Zwemstrand extra;andijk.zwemstrandextra;Andijk Zwemstrand extra;c(5.1715, 52.7408)
IJsselmeer;Lelystad, Houtribhoek;lelystad.houtribhoek;Lelystad, Houtribhoek;c(5.472736, 52.560481)
IJsselmeer;Swifterbant, Ketelmeer;swifterbant.ketelmeer;voorheen Ketelmeer, west;c(5.6455, 52.6055)
IJsselmeer;Ramsdiep;ramsdiep;kilometer 10;c(5.931705, 52.630065)
IJsselmeer;Steile Bank;steilebank;Steile Bank;c(5.629536, 52.828102)
IJsselmeer;Vrouwezand;vrouwezand;Vrouwezand;c(5.393138, 52.810348)
IJsselmeer;Val van Urk;valvanurk;Val van Urk;c(5.53868, 52.653881)
IJsselmeer;Lemmer Teroelsterkolk buiten;lemmer.teroelsterkolk.buiten;Lemmer Teroelsterkolk buiten;c(5.68338, 52.84506)
IJsselmeer;Wieringen IJsselmeer oost;wieringen.ijsselmeer.oost;Wieringen IJsselmeer oost;c(5.118889, 52.873472)
IJsselmeer;Andijk;andijk;voorheen IJsselmeer, meetpaal 38;c(5.265049, 52.7503)
IJsselmeer;Makkum sluis buiten;makkum.sluis.buiten;Makkum sluis buiten;c(5.40223, 53.05451)
IJsselmeer;Rotterdamsehoek IJsselmeer;rotterdamsehoek.ijsselmeer;Rotterdamsehoek IJsselmeer;c(5.552, 52.748722)
IJsselmeer;Stavoren gemaal Hoogland buiten;stavoren.gemaalhoogland.buiten;Stavoren gemaal Hoogland buiten;c(5.36396, 52.87793)
IJsselmeer;Friesekust IJsselmeer;friesekust.ijsselmeer;Friesekust IJsselmeer;c(5.478778, 52.822278)
IJsselmeer;Den Oever, spuisluis, binnen;denoever.spuisluis.binnen;ponton;c(5.052922, 52.936311)
IJsselmeer;Kornwerderzand IJsselmeer spui;kornwerderzand.ijsselmeer.spui;Kornwerderzand IJsselmeer spui;c(5.32872, 53.06802)
IJsselmeer;Kornwerderzand IJsselmeer vaargeul;kornwerderzand.ijsselmeer.vaargeul;Kornwerderzand IJsselmeer vaargeul;c(5.34483, 53.04868)
IJsselmeer;Den Oever IJsselmeer Vaargeul;denoever.ijsselmeer.vaargeul;Den Oever IJsselmeer Vaargeul;c(5.0807, 52.90437)
IJsselmeer;Oude Zeug;oudezeug;Oude Zeug;c(5.103472, 52.859168)
IJsselmeer;Rotterdamse Hoek;rotterdamsehoek;Rotterdamse Hoek;c(5.533865, 52.760831)
